alpha,d,m,n,T,R
0.8,12,50,150,0.8,0.2
0.8,12,30,250,0.2,0.2
0.8,12,30,250,0.8,0.2
0.8,12,50,250,0.2,0.2
0.8,12,50,250,0.8,0.2
0.8,12,30,350,0.2,0.2
0.8,12,30,350,0.8,0.2
0.8,12,50,350,0.2,0.2
0.8,12,50,350,0.8,0.2
0.8,14,2,20,0.2,0.2
0.8,14,2,20,0.8,0.2
0.8,14,3,20,0.2,0.2
0.8,14,3,20,0.8,0.2
0.8,14,5,20,0.2,0.2
0.8,14,5,20,0.8,0.2
0.8,14,10,50,0.2,0.2
0.8,14,10,50,0.8,0.2
0.8,14,30,50,0.2,0.2
0.8,14,30,50,0.8,0.2
0.8,14,50,50,0.2,0.2
0.8,14,50,50,0.8,0.2
0.8,14,30,150,0.2,0.2
0.8,14,30,150,0.8,0.2
0.8,14,50,150,0.2,0.2
0.8,14,50,150,0.8,0.2
0.8,14,30,250,0.2,0.2
0.8,14,30,250,0.8,0.2
0.8,14,50,250,0.2,0.2
0.8,14,50,250,0.8,0.2
0.8,14,30,350,0.2,0.2
0.8,14,30,350,0.8,0.2
0.8,14,50,350,0.2,0.2
0.8,14,50,350,0.8,0.2
