Table A.7, α = 0.,,,,,,,,,,,,D=6,,,,,,D=8,,,,,,D=10,,,,,
,,,,Mathematical model,,ILS,,GRASP,,,Comparisons,,EDD,,Medias, ,IG,,EDD,,Medias, ,IG,,EDD,,Medias, ,IG,
Workers,Jobs,T,R,Tmax,CPU time (s),Tmax,CPU time (s),Tmax,CPU time (s), EXACT – OPT‡, ILS - EXACT ,-EXACT,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time
2,20,0.2,0.2,5376.37,1000∗,5384.93,0.03,5899.93,0.09,100.00%,0.20%,9.70%,6521.3,0.000012984,5841.76,0.000010922,5350.84,0.000346786,6521.3,0.000012889,5841.76,0.000010614,5369.34,0.000802472,6521.3,0.000020596,5841.76,0.000016338,5374.32,0.000902836
,,0.8,0.2,5954.28,1000∗,6011.93,0.03,7508.93,0.09,92.50%,1.00%,26.10%,8431.39,0.00003641,7080.65,0.000020804,5969.29,0.000495512,8431.39,0.000017822,7080.65,0.000014868,5996.53,0.000763459,8431.39,0.00001314,7080.65,0.00001049,6024.18,0.000367598
3,20,0.2,0.2,4694.5,1000∗,4665.67,0.03,6739.4,0.1,96.60%,−0.6%,43.60%,7424.39,0.00001665,5216.46,0.000011252,4750.16,0.00033126,7424.39,0.000016173,5216.46,0.000011368,4636.62,0.000453106,7424.39,0.000016709,5216.46,0.000011074,4595.66,0.000299587
,,0.8,0.2,4775.29,1000∗,5300.84,0.03,6989.4,0.1,96.80%,11.00%,46.40%,7941.24,0.000016542,5985.24,0.000011151,5220.97,0.00037538,7941.24,0.00001653,5985.24,0.000011269,5151.28,0.000439701,7941.24,0.000016806,5985.24,0.000011451,5205.1,0.000422657
5,20,0.2,0.2,7914.54,1000∗,7084.61,37,8622.61,0.11,93.40%,−10.5%,8.90%,9200.39,0.000015367,7564.53,0.000012436,6952.73,0.000451534,9200.39,0.000015365,7564.53,0.000012493,7189.77,0.000784084,9200.39,0.000015312,7564.53,0.000012681,6889.98,0.00117274
,,0.8,0.2,8533.33,1000∗,8173.42,37,9163.42,0.11,83.80%,−4.2%,7.40%,10685.2,0.000016689,8764.33,0.000012662,7776.95,0.000667172,10685.2,0.000015246,8764.33,0.000012762,7671.99,0.000719309,10685.2,0.000015791,8764.33,0.000013,7774.94,0.000742677
"
10","
50",0.2,0.2,48.374.71,1000∗,41.593.17,211,45.985.17,0.61,100.00%,−14.0%,−4.9%,49702.4,0.000041719,46508.8,0.000041583,38187.4,0.0080661,49702.4,0.000101965,46508.8,0.000083841,38114,0.00728727,49702.4,0.000042803,46508.8,0.000048254,38803.2,0.00716445
,,0.8,0.2,50.468.71,1000∗,44.312.23,207,49.565.74,0.61,100.00%,−12.2%,−1.8%,53711.2,0.000109695,48877.9,0.000084129,40546.4,0.0055621,53711.2,0.000049956,48877.9,0.000042735,40859.2,0.00737495,53711.2,0.000069936,48877.9,0.000076913,39813.8,0.020129
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
