alpha,d,m,n,T,R,EDD,,Medias, ,IG,
,,,,,,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time
,,,,,,,,,,,
0.8,8,50,150,0.2,0.2,,,,,,
0.8,8,50,150,0.8,0.2,,,,,,
0.8,8,50,250,0.2,0.2,,,,,,
0.8,8,50,250,0.8,0.2,,,,,,
0.8,8,50,350,0.2,0.2,,,,,,
0.8,8,50,350,0.8,0.2,,,,,,
0.8,8,50,50,0.2,0.2,,,,,,
0.8,8,50,50,0.8,0.2,,,,,,
0.8,10,50,150,0.2,0.2,,,,,,
0.8,10,50,150,0.8,0.2,,,,,,
0.8,10,50,250,0.2,0.2,,,,,,
0.8,10,50,250,0.8,0.2,,,,,,
0.8,10,50,350,0.2,0.2,,,,,,
0.8,10,50,350,0.8,0.2,,,,,,
0.8,10,50,50,0.2,0.2,,,,,,
0.8,10,50,50,0.8,0.2,,,,,,
