Table A.7, α = 0.,,,,,,,,,,,,D=6,,,,,,D=8,,,,,,D=10,,,,,
,,,,Mathematical model,,ILS,,GRASP,,,Comparisons,,EDD,,Medias, ,IG,,EDD,,Medias, ,IG,,EDD,,Medias, ,IG,
5,5,0.2,0.2,294.32,0.84,294.32,0.01,330.68,0.02,0.00%,0.00%,12.40%,,,,,,,,,,,,,,,,,,
,,0.8,0.2,539.32,0.69,539.32,0.01,558.08,0.02,0.00%,0.00%,3.50%,,,,,,,,,,,,,,,,,,
5,10,0.2,0.2,787.78,1000∗,832.26,0.01,911.19,0.04,97.60%,5.60%,15.70%,,,,,,,,,,,,,,,,,,
,,0.8,0.2,1094.69,1000∗,1097.36,0.01,1268.62,0.04,66.00%,0.20%,15.90%,,,,,,,,,,,,,,,,,,
5,20,0.2,0.2,989.5,1000∗,933.16,0.04,1079.9,0.11,100.00%,−5.7%,9.10%,1248.75,0.000023417,1290.23,0.000017068,804.738,,1248.75,0.000019173,1290.23,0.000013235,873.866,,1248.75,0.000017491,1290.23,0.000012893,817.48,
,,0.8,0.2,1841.8,1000∗,1806.87,0.04,1893.87,0.11,87.50%,−1.9%,2.80%,1980.76,0.000016444,1948.26,0.000013159,1725.32,,1980.76,0.000016652,1948.26,0.000013393,1711.26,,1980.76,0.000020102,1948.26,0.000020517,1733.42,
10,"
50",0.2,0.2,4493.52,1000∗,3512.92,0.22,4131.6,0.68,100.00%,−21.8%,−8.1%,4467.73,0.000041281,4168.37,0.000059847,3267.66,,4467.73,0.000042768,4168.37,0.000041555,3351.85,,4467.73,0.000043515,4168.37,0.000042198,3239.32,
,,0.8,0.2,6693.27,1000∗,5427.92,0.21,5919.28,0.61,100.00%,−18.9%,−11.6%,6344.37,0.000042604,5793.99,0.000040494,5084.98,,6344.37,0.000043619,5793.99,0.000041073,5031.37,,6344.37,0.000042968,5793.99,0.000040619,5051.98,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,α = 0.8.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table A.9,,,,,,,,,,,,,D=6,,,,,,D=8,,,,,,D=10,,,,,
,,,,Mathematical model,,ILS,,GRASP,,,Comparisons,,EDD,,Medias, ,IG,,EDD,,Medias, ,IG,,EDD,,Medias, ,IG,
Workers,Jobs,T,R,Tmax,CPU time (s),Tmax,CPU time (s),Tmax,CPU time (s), EXACT – OPT‡, ILS - EXACT ,-EXACT,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time
2,5,0.2,0.2,506.6,0.49,506.37,0,692.37,0.01,0.00%,0.00%,36.70%,,,,,,,,,,,,,,,,,,
,,0.8,0.2,567.37,0.56,567.37,0,570.37,0.01,0.00%,0.00%,0.50%,,,,,,,,,,,,,,,,,,
2,10,0.2,0.2,1461.82,1000∗,1461.82,0.01,1728.53,0.03,36.50%,0.00%,18.20%,,,,,,,,,,,,,,,,,,
,,0.8,0.2,1755.82,1000∗,1765.02,0.01,1977.02,0.03,58.40%,0.50%,12.60%,,,,,,,,,,,,,,,,,,
