
0,10,50,150,0.2,0.2,6801,1.27006e-05,7092,1.33055e-05,5004,1.07838,5004,0.149386,5004,0.120296,5150,0.658695,
0.2,10,50,150,0.2,0.2,24923.7,1.27501e-05,25106.6,1.32123e-05,21205.7,0.89886,21205.7,0.105213,21205.7,0.10797,21003.7,6.62718,
0.8,10,50,150,0.2,0.2,463809,1.32486e-05,445537,1.4152e-05,401865,1.33652,401865,0.10428,401865,0.103595,401857,1.64327,
0,10,50,150,0.8,0.2,11378,1.28776e-05,11761,1.29262e-05,10088,1.19924,10088,0.119158,10088,0.124098,10086,0.796222,
0.2,10,50,150,0.8,0.2,29739.7,1.31035e-05,30110.8,1.31106e-05,26158.5,1.83259,26158.5,0.191675,26158.5,0.183749,25930.3,8.92459,
0.8,10,50,150,0.8,0.2,486609,1.33878e-05,485463,1.3298e-05,411633,0.659141,411633,0.107394,411633,0.107848,411541,0.76502,
0,10,50,250,0.2,0.2,7885,2.71691e-05,8616,2.73348e-05,5795,9.93491,5795,0.976983,5795,1.28807,5625,23.0529,
0.2,10,50,250,0.2,0.2,39723.7,3.13934e-05,39873,2.8079e-05,33557.7,7.33963,33557.7,1.08984,33557.7,1.08563,33581.4,6.82177,
0.8,10,50,250,0.2,0.2,993240,2.98589e-05,988287,3.29129e-05,863011,12.8108,863011,1.2124,863011,1.14691,866369,6.89388,
0,10,50,250,0.8,0.2,16612,2.67155e-05,16441,2.70247e-05,14166,5.31891,14166,1.03082,14166,1.03647,14112,6.04642,
0.2,10,50,250,0.8,0.2,49088.3,3.86644e-05,47621,2.73993e-05,42028.8,11.7567,42028.8,1.22051,42028.8,1.19694,41708.8,8.4117,
0.8,10,50,250,0.8,0.2,1.03885e+06,3.27838e-05,993614,5.45617e-05,880530,8.90865,863937,198.421,863889,11.126,863990,17.7702,
0,10,50,350,0.2,0.2,9734,3.75281e-05,11177,3.91907e-05,6403,26.9723,6403,2.84957,6403,3.5231,6369,27.9735,
