alpha,d,m,n,T,R,EDD,,Medias, ,IGA,,IGA Complete,
,,,,,,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time
,,,,,,,,,,,,,
0.8,8,3,20,0.2,0.2,,,,,,,,
0.8,8,3,20,0.8,0.2,,,,,,,,
0.8,8,5,20,0.2,0.2,,,,,,,,
0.8,8,5,20,0.8,0.2,,,,,,,,
0.8,8,10,50,0.2,0.2,,,,,,,,
0.8,8,10,50,0.8,0.2,,,,,,,,
0.8,8,30,50,0.2,0.2,,,,,,,,
0.8,8,30,50,0.8,0.2,,,,,,,,
0.8,8,50,50,0.2,0.2,,,,,,,,
0.8,8,50,50,0.8,0.2,,,,,,,,
0.8,8,30,150,0.2,0.2,,,,,,,,
0.8,8,30,150,0.8,0.2,,,,,,,,
0.8,8,50,150,0.2,0.2,,,,,,,,
0.8,8,50,150,0.8,0.2,,,,,,,,
0.8,8,30,250,0.2,0.2,,,,,,,,
0.8,8,30,250,0.8,0.2,,,,,,,,
0.8,8,50,250,0.2,0.2,,,,,,,,
0.8,8,50,250,0.8,0.2,,,,,,,,
0.8,8,30,350,0.2,0.2,,,,,,,,
0.8,8,30,350,0.8,0.2,,,,,,,,
0.8,8,50,350,0.2,0.2,,,,,,,,
0.8,8,50,350,0.8,0.2,,,,,,,,
