alpha,d,m,n,T,R,EDD,,Medias,,IGA,
, , , , , , Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
0,10,2,20,0.2,0.2,445,0,390,0,344,0
0,10,2,20,0.8,0.2,995,0,1114,0,956,0
0,10,3,20,0.2,0.2,373,0,440,0,231,0
0,10,3,20,0.8,0.2,854,0,935,0,774,0
0,10,5,20,0.2,0.2,353,0,554,0,172,0
0,10,5,20,0.8,0.2,1066,0,1221,0,1032,0
0,10,10,50,0.2,0.2,1180,0,1411,0,589,0
0,10,10,50,0.8,0.2,2945,0,2910,0,2363,0
0,10,30,50,0.2,0.2,2068,0,2750,0,1440,1
0,10,30,50,0.8,0.2,4529,0,4464,0,3825,1
0,10,50,50,0.2,0.2,3664,0,3906,0,2699,3
0,10,50,50,0.8,0.2,6392,0,6121,0,5208,4
0,10,30,150,0.2,0.2,4383,0,5285,0,3030,18
0,10,30,150,0.8,0.2,9721,0,9726,0,8120,31
0,10,50,150,0.2,0.2,6801,0,7092,0,4986,68
0,10,50,150,0.8,0.2,11378,0,11761,0,10073,50
0,10,30,250,0.2,0.2,5525,0,6014,0,3088,135
0,10,30,250,0.8,0.2,13657,0,14271,0,11710,90
0,10,50,250,0.2,0.2,7885,0,8616,0,5766,236
0,10,50,250,0.8,0.2,16612,0,16441,0,14134,194
0,10,30,350,0.2,0.2,7549,0,9891,0,4998,183
0,10,30,350,0.8,0.2,18744,0,20129,0,16069,277
0,10,50,350,0.2,0.2,9734,0,11177,0,6516,610
0,10,50,350,0.8,0.2,21079,0,21193,0,18024,307
0.2,10,2,20,0.2,0.2,1084.04,0,972752,0,900441,0
0.2,10,2,20,0.8,0.2,1722.1,0,1742.37,0,1508.07,0
0.2,10,3,20,0.2,0.2,1059.98,0,892665,0,740027,0
0.2,10,3,20,0.8,0.2,1538,0,1398.75,0,1299.85,0
0.2,10,5,20,0.2,0.2,1248.75,0,1290.23,0,830943,0
0.2,10,5,20,0.8,0.2,1980.76,0,1948.26,0,1690.39,0
0.2,10,10,50,0.2,0.2,4467.73,0,4168.37,0,3312.26,0
0.2,10,10,50,0.8,0.2,6344.37,0,5793.99,0,5011.04,0
0.2,10,30,50,0.2,0.2,7030.77,0,7395.99,0,5612.53,1
0.2,10,30,50,0.8,0.2,9566.41,0,9020.89,0,8147.93,1
0.2,10,50,50,0.2,0.2,10500.8,0,9881.75,0,8241.91,2
0.2,10,50,50,0.8,0.2,12866.8,0,12631.8,0,10789.5,2
0.2,10,30,150,0.2,0.2,20451.7,0,20173.4,0,16483,43
0.2,10,30,150,0.8,0.2,25316.9,0,25668,0,21657.2,51
0.2,10,50,150,0.2,0.2,24923.7,0,25106.6,0,21271.8,52
0.2,10,50,150,0.8,0.2,29739.7,0,30110.8,0,26530.5,35
0.2,10,30,250,0.2,0.2,33982.4,0,32764.9,0,27089.9,103
0.2,10,30,250,0.8,0.2,40810.2,0,41827.4,0,35986.7,83
0.2,10,50,250,0.2,0.2,39723.7,0,39873,0,33732.1,143
0.2,10,50,250,0.8,0.2,49088.3,0,47621,0,41712.2,192
0.2,10,30,350,0.2,0.2,48730.4,0,49150.7,0,41033.2,254
0.2,10,30,350,0.8,0.2,59364.2,0,61387.2,0,52104.7,338
0.2,10,50,350,0.2,0.2,56398.5,0,55027.1,0,46812.4,418
0.2,10,50,350,0.8,0.2,65844.4,0,65270.8,0,58016.2,490
0.8,10,2,20,0.2,0.2,6521.3,0,5841.76,0,5385.2,0
0.8,10,2,20,0.8,0.2,8431.39,0,7080.65,0,5950.64,0
0.8,10,3,20,0.2,0.2,7424.39,0,5216.46,0,4634,0
0.8,10,3,20,0.8,0.2,7941.24,0,5985.24,0,5134.61,0
0.8,10,5,20,0.2,0.2,9200.39,0,7564.53,0,6950.01,0
0.8,10,5,20,0.8,0.2,10685.2,0,8764.33,0,7699.58,0
0.8,10,10,50,0.2,0.2,49702.4,0,46508.8,0,38362.3,0
0.8,10,10,50,0.8,0.2,53711.2,0,48877.9,0,39956.5,0
0.8,10,30,50,0.2,0.2,83130.7,0,74386.3,0,65663.9,1
0.8,10,30,50,0.8,0.2,85342.3,0,77397.4,0,66994.6,2
0.8,10,50,50,0.2,0.2,108666,0,100634,0,90184.7,5
0.8,10,50,50,0.8,0.2,109906,0,107936,0,92363.8,4
0.8,10,30,150,0.2,0.2,400068,0,372777,0,326618,27
0.8,10,30,150,0.8,0.2,393197,0,395314,0,332502,39
0.8,10,50,150,0.2,0.2,463809,0,445537,0,404937,33
0.8,10,50,150,0.8,0.2,486609,0,485463,0,408025,32
0.8,10,30,250,0.2,0.2,886389,0,826675,0,732188,92
0.8,10,30,250,0.8,0.2,853812,0,853185,0,749538,61
0.8,10,50,250,0.2,0.2,993240,0,988287,0,868641,150
0.8,10,50,250,0.8,0.2,1.03885e+06,0,993614,0,876135,138
0.8,10,30,350,0.2,0.2,1.4713e+06,0,1.4642e+06,0,1.2954e+06,218
0.8,10,30,350,0.8,0.2,1.4843e+06,0,1.4878e+06,0,1.30044e+06,351
0.8,10,50,350,0.2,0.2,1.70516e+06,0,1.63815e+06,0,1.47238e+06,252
0.8,10,50,350,0.8,0.2,1.69677e+06,0,1.66277e+06,0,1.47578e+06,398
