alpha,d,m,n,T,R,EDD,,Medias,,IGA,
, , , , , , Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time
0,10,2,20,0.2,0.2,445,0,390,0,344,0
0,10,2,20,0.8,0.2,995,0,1114,0,966,0
0,10,3,20,0.2,0.2,373,0,440,0,231,0
0,10,3,20,0.8,0.2,854,0,935,0,774,0
0,10,5,20,0.2,0.2,353,0,554,0,184,0
0,10,5,20,0.8,0.2,1066,0,1221,0,1019,0
0,10,10,50,0.2,0.2,1180,0,1411,0,601,0
0,10,10,50,0.8,0.2,2945,0,2910,0,2364,1
0,10,30,50,0.2,0.2,2068,0,2750,0,1380,2
0,10,30,50,0.8,0.2,4529,0,4464,0,3813,1
0,10,50,50,0.2,0.2,3664,0,3906,0,2678,3
0,10,50,50,0.8,0.2,6392,0,6121,0,5301,1
0,10,30,150,0.2,0.2,4383,0,5285,0,2930,26
0,10,30,150,0.8,0.2,9721,0,9726,0,8227,20
0,10,50,150,0.2,0.2,6801,0,7092,0,5015,40
0,10,50,150,0.8,0.2,11378,0,11761,0,9963,43
0,10,30,250,0.2,0.2,5525,0,6014,0,3154,74
0,10,30,250,0.8,0.2,13657,0,14271,0,11616,93
0,10,50,250,0.2,0.2,7885,0,8616,0,5700,205
0,10,50,250,0.8,0.2,16612,0,16441,0,13987,162
0,10,30,350,0.2,0.2,7549,0,9891,0,4946,341
0,10,30,350,0.8,0.2,18744,0,20129,0,16152,198
0,10,50,350,0.2,0.2,9734,0,11177,0,6403,390
0,10,50,350,0.8,0.2,21079,0,21193,0,17943,434
0.2,10,2,20,0.2,0.2,1084.04,0,972752,0,896285,0
0.2,10,2,20,0.8,0.2,1722.1,0,1742.37,0,1515.94,0
0.2,10,3,20,0.2,0.2,1059.98,0,892665,0,735.35,0
0.2,10,3,20,0.8,0.2,1538,0,1398.75,0,1283.06,0
0.2,10,5,20,0.2,0.2,1248.75,0,1290.23,0,829.04,0
0.2,10,5,20,0.8,0.2,1980.76,0,1948.26,0,1710.94,0
0.2,10,10,50,0.2,0.2,4467.73,0,4168.37,0,3246.79,0
0.2,10,10,50,0.8,0.2,6344.37,0,5793.99,0,5043.59,0
0.2,10,30,50,0.2,0.2,7030.77,0,7395.99,0,5627.94,1
0.2,10,30,50,0.8,0.2,9566.41,0,9020.89,0,8030.6,2
0.2,10,50,50,0.2,0.2,10500.8,0,9881.75,0,8243.92,3
0.2,10,50,50,0.8,0.2,12866.8,0,12631.8,0,10591.7,2
0.2,10,30,150,0.2,0.2,20451.7,0,20173.4,0,16552.7,29
0.2,10,30,150,0.8,0.2,25316.9,0,25668,0,21808.5,26
0.2,10,50,150,0.2,0.2,24923.7,0,25106.6,0,21023.7,68
0.2,10,50,150,0.8,0.2,29739.7,0,30110.8,0,26366.2,27
0.2,10,30,250,0.2,0.2,33982.4,0,32764.9,0,27287.5,129
0.2,10,30,250,0.8,0.2,40810.2,0,41827.4,0,35882.7,107
0.2,10,50,250,0.2,0.2,39723.7,0,39873,0,33535.3,275
0.2,10,50,250,0.8,0.2,49088.3,0,47621,0,41868.9,135
0.2,10,30,350,0.2,0.2,48730.4,0,49150.7,0,41086.7,399
0.2,10,30,350,0.8,0.2,59364.2,0,61387.2,0,52397.6,185
0.2,10,50,350,0.2,0.2,56398.5,0,55027.1,0,46673.9,367
0.2,10,50,350,0.8,0.2,65844.4,0,65270.8,0,59063.5,236
0.8,10,2,20,0.2,0.2,6521.3,0,5841.76,0,5384,0
0.8,10,2,20,0.8,0.2,8431.39,0,7080.65,0,5972.08,0
0.8,10,3,20,0.2,0.2,7424.39,0,5216.46,0,4683.36,0
0.8,10,3,20,0.8,0.2,7941.24,0,5985.24,0,5204.89,0
0.8,10,5,20,0.2,0.2,9200.39,0,7564.53,0,7146.45,0
0.8,10,5,20,0.8,0.2,10685.2,0,8764.33,0,7743.68,0
0.8,10,10,50,0.2,0.2,49702.4,0,46508.8,0,37817.4,0
0.8,10,10,50,0.8,0.2,53711.2,0,48877.9,0,40168.3,0
0.8,10,30,50,0.2,0.2,83130.7,0,74386.3,0,65124.9,1
0.8,10,30,50,0.8,0.2,85342.3,0,77397.4,0,67705.7,1
0.8,10,50,50,0.2,0.2,108666,0,100634,0,90276.5,4
0.8,10,50,50,0.8,0.2,109906,0,107936,0,92716.7,2
0.8,10,30,150,0.2,0.2,400068,0,372777,0,326055,28
0.8,10,30,150,0.8,0.2,393197,0,395314,0,332244,17
0.8,10,50,150,0.2,0.2,463809,0,445537,0,404266,26
0.8,10,50,150,0.8,0.2,486609,0,485463,0,408881,40
0.8,10,30,250,0.2,0.2,886389,0,826675,0,734256,90
0.8,10,30,250,0.8,0.2,853812,0,853185,0,742964,77
0.8,10,50,250,0.2,0.2,993240,0,988287,0,867289,211
0.8,10,50,250,0.8,0.2,1.03885e+06,0,993614,0,870683,171
0.8,10,30,350,0.2,0.2,1.4713e+06,0,1.4642e+06,0,1.29738e+06,182
0.8,10,30,350,0.8,0.2,1.4843e+06,0,1.4878e+06,0,1.30671e+06,228
0.8,10,50,350,0.2,0.2,1.70516e+06,0,1.63815e+06,0,1.47129e+06,258
0.8,10,50,350,0.8,0.2,1.69677e+06,0,1.66277e+06,0,1.47425e+06,388
