alpha,d,m,n,T,R,EDD,,Medias,,IGA,
, , , , , , Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
0,10,2,20,0.2,0.2,445,0,390,0,344,0
0,10,2,20,0.8,0.2,995,0,1114,0,956,0
0,10,3,20,0.2,0.2,373,0,440,0,263,0
0,10,3,20,0.8,0.2,854,0,935,0,774,0
0,10,5,20,0.2,0.2,353,0,554,0,183,0
0,10,5,20,0.8,0.2,1066,0,1221,0,1005,0
0,10,10,50,0.2,0.2,1180,0,1411,0,654,0
0,10,10,50,0.8,0.2,2945,0,2910,0,2362,0
0,10,30,50,0.2,0.2,2068,0,2750,0,1400,2
0,10,30,50,0.8,0.2,4529,0,4464,0,3768,2
0,10,50,50,0.2,0.2,3664,0,3906,0,2716,2
0,10,50,50,0.8,0.2,6392,0,6121,0,5199,3
0,10,30,150,0.2,0.2,4383,0,5285,0,2969,27
0,10,30,150,0.8,0.2,9721,0,9726,0,8072,25
0,10,50,150,0.2,0.2,6801,0,7092,0,4983,41
0,10,50,150,0.8,0.2,11378,0,11761,0,10068,45
0,10,30,250,0.2,0.2,5525,0,6014,0,3109,101
0,10,30,250,0.8,0.2,13657,0,14271,0,11721,68
0,10,50,250,0.2,0.2,7885,0,8616,0,5822,195
0,10,50,250,0.8,0.2,16612,0,16441,0,14076,170
0,10,30,350,0.2,0.2,7549,0,9891,0,4923,299
0,10,30,350,0.8,0.2,18744,0,20129,0,15976,229
0,10,50,350,0.2,0.2,9734,0,11177,0,6432,387
0,10,50,350,0.8,0.2,21079,0,21193,0,17906,360
0.2,10,2,20,0.2,0.2,1084.04,0,972752,0,901016,0
0.2,10,2,20,0.8,0.2,1722.1,0,1742.37,0,1507.13,0
0.2,10,3,20,0.2,0.2,1059.98,0,892665,0,726219,0
0.2,10,3,20,0.8,0.2,1538,0,1398.75,0,1283.43,0
0.2,10,5,20,0.2,0.2,1248.75,0,1290.23,0,846276,0
0.2,10,5,20,0.8,0.2,1980.76,0,1948.26,0,1723.41,0
0.2,10,10,50,0.2,0.2,4467.73,0,4168.37,0,3280.17,0
0.2,10,10,50,0.8,0.2,6344.37,0,5793.99,0,5001.76,0
0.2,10,30,50,0.2,0.2,7030.77,0,7395.99,0,5590.57,1
0.2,10,30,50,0.8,0.2,9566.41,0,9020.89,0,8142.12,1
0.2,10,50,50,0.2,0.2,10500.8,0,9881.75,0,8149.9,3
0.2,10,50,50,0.8,0.2,12866.8,0,12631.8,0,10634.4,3
0.2,10,30,150,0.2,0.2,20451.7,0,20173.4,0,16472,30
0.2,10,30,150,0.8,0.2,25316.9,0,25668,0,21820.7,18
0.2,10,50,150,0.2,0.2,24923.7,0,25106.6,0,21123.1,55
0.2,10,50,150,0.8,0.2,29739.7,0,30110.8,0,26210.7,47
0.2,10,30,250,0.2,0.2,33982.4,0,32764.9,0,27642.6,84
0.2,10,30,250,0.8,0.2,40810.2,0,41827.4,0,35738.8,102
0.2,10,50,250,0.2,0.2,39723.7,0,39873,0,33649.3,159
0.2,10,50,250,0.8,0.2,49088.3,0,47621,0,41962,213
0.2,10,30,350,0.2,0.2,48730.4,0,49150.7,0,41199.4,336
0.2,10,30,350,0.8,0.2,59364.2,0,61387.2,0,51867,268
0.2,10,50,350,0.2,0.2,56398.5,0,55027.1,0,46742.1,287
0.2,10,50,350,0.8,0.2,65844.4,0,65270.8,0,58663.3,367
0.8,10,2,20,0.2,0.2,6521.3,0,5841.76,0,5302.19,0
0.8,10,2,20,0.8,0.2,8431.39,0,7080.65,0,5952.7,0
0.8,10,3,20,0.2,0.2,7424.39,0,5216.46,0,4674.77,0
0.8,10,3,20,0.8,0.2,7941.24,0,5985.24,0,5118.4,0
0.8,10,5,20,0.2,0.2,9200.39,0,7564.53,0,6955.74,0
0.8,10,5,20,0.8,0.2,10685.2,0,8764.33,0,7780.95,0
0.8,10,10,50,0.2,0.2,49702.4,0,46508.8,0,38943.5,0
0.8,10,10,50,0.8,0.2,53711.2,0,48877.9,0,39716.8,0
0.8,10,30,50,0.2,0.2,83130.7,0,74386.3,0,65791.5,1
0.8,10,30,50,0.8,0.2,85342.3,0,77397.4,0,67249.9,2
0.8,10,50,50,0.2,0.2,108666,0,100634,0,90613.8,2
0.8,10,50,50,0.8,0.2,109906,0,107936,0,92501.7,2
0.8,10,30,150,0.2,0.2,400068,0,372777,0,326570,40
0.8,10,30,150,0.8,0.2,393197,0,395314,0,334453,19
0.8,10,50,150,0.2,0.2,463809,0,445537,0,402555,36
0.8,10,50,150,0.8,0.2,486609,0,485463,0,405741,50
0.8,10,30,250,0.2,0.2,886389,0,826675,0,735709,85
0.8,10,30,250,0.8,0.2,853812,0,853185,0,747925,65
0.8,10,50,250,0.2,0.2,993240,0,988287,0,864878,228
0.8,10,50,250,0.8,0.2,1.03885e+06,0,993614,0,871476,191
0.8,10,30,350,0.2,0.2,1.4713e+06,0,1.4642e+06,0,1.29287e+06,299
0.8,10,30,350,0.8,0.2,1.4843e+06,0,1.4878e+06,0,1.30738e+06,211
0.8,10,50,350,0.2,0.2,1.70516e+06,0,1.63815e+06,0,1.47433e+06,331
0.8,10,50,350,0.8,0.2,1.69677e+06,0,1.66277e+06,0,1.48165e+06,418
