alpha,d,m,n,T,R,EDD,,Medias,,IGA,
, , , , , , Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
0,10,2,20,0.2,0.2,445,0,390,0,344,0
0,10,2,20,0.8,0.2,995,0,1114,0,956,0
0,10,3,20,0.2,0.2,373,0,440,0,244,0
0,10,3,20,0.8,0.2,854,0,935,0,774,0
0,10,5,20,0.2,0.2,353,0,554,0,171,0
0,10,5,20,0.8,0.2,1066,0,1221,0,1024,0
0,10,10,50,0.2,0.2,1180,0,1411,0,621,0
0,10,10,50,0.8,0.2,2945,0,2910,0,2368,0
0,10,30,50,0.2,0.2,2068,0,2750,0,1381,2
0,10,30,50,0.8,0.2,4529,0,4464,0,3828,1
0,10,50,50,0.2,0.2,3664,0,3906,0,2733,3
0,10,50,50,0.8,0.2,6392,0,6121,0,5195,3
0,10,30,150,0.2,0.2,4383,0,5285,0,3031,23
0,10,30,150,0.8,0.2,9721,0,9726,0,8092,31
0,10,50,150,0.2,0.2,6801,0,7092,0,5022,54
0,10,50,150,0.8,0.2,11378,0,11761,0,10036,50
0,10,30,250,0.2,0.2,5525,0,6014,0,3123,94
0,10,30,250,0.8,0.2,13657,0,14271,0,11713,103
0,10,50,250,0.2,0.2,7885,0,8616,0,5767,216
0,10,50,250,0.8,0.2,16612,0,16441,0,14114,142
0,10,30,350,0.2,0.2,7549,0,9891,0,4859,346
0,10,30,350,0.8,0.2,18744,0,20129,0,15954,294
0,10,50,350,0.2,0.2,9734,0,11177,0,6485,520
0,10,50,350,0.8,0.2,21079,0,21193,0,17987,452
0.2,10,2,20,0.2,0.2,1084.04,0,972752,0,907.06,0
0.2,10,2,20,0.8,0.2,1722.1,0,1742.37,0,1508.01,0
0.2,10,3,20,0.2,0.2,1059.98,0,892665,0,728488,0
0.2,10,3,20,0.8,0.2,1538,0,1398.75,0,1293.46,0
0.2,10,5,20,0.2,0.2,1248.75,0,1290.23,0,830746,0
0.2,10,5,20,0.8,0.2,1980.76,0,1948.26,0,1692,0
0.2,10,10,50,0.2,0.2,4467.73,0,4168.37,0,3241.04,1
0.2,10,10,50,0.8,0.2,6344.37,0,5793.99,0,5104.62,0
0.2,10,30,50,0.2,0.2,7030.77,0,7395.99,0,5743.64,1
0.2,10,30,50,0.8,0.2,9566.41,0,9020.89,0,8079.22,1
0.2,10,50,50,0.2,0.2,10500.8,0,9881.75,0,8141.62,4
0.2,10,50,50,0.8,0.2,12866.8,0,12631.8,0,10621.4,3
0.2,10,30,150,0.2,0.2,20451.7,0,20173.4,0,16543.3,22
0.2,10,30,150,0.8,0.2,25316.9,0,25668,0,22026.3,19
0.2,10,50,150,0.2,0.2,24923.7,0,25106.6,0,21174,34
0.2,10,50,150,0.8,0.2,29739.7,0,30110.8,0,26241.2,37
0.2,10,30,250,0.2,0.2,33982.4,0,32764.9,0,27035.8,168
0.2,10,30,250,0.8,0.2,40810.2,0,41827.4,0,35853.7,149
0.2,10,50,250,0.2,0.2,39723.7,0,39873,0,33490.9,186
0.2,10,50,250,0.8,0.2,49088.3,0,47621,0,41702.9,258
0.2,10,30,350,0.2,0.2,48730.4,0,49150.7,0,41092.6,353
0.2,10,30,350,0.8,0.2,59364.2,0,61387.2,0,52204.2,220
0.2,10,50,350,0.2,0.2,56398.5,0,55027.1,0,46933.7,298
0.2,10,50,350,0.8,0.2,65844.4,0,65270.8,0,58459.2,512
0.8,10,2,20,0.2,0.2,6521.3,0,5841.76,0,5421.09,0
0.8,10,2,20,0.8,0.2,8431.39,0,7080.65,0,5935.49,0
0.8,10,3,20,0.2,0.2,7424.39,0,5216.46,0,4680.88,0
0.8,10,3,20,0.8,0.2,7941.24,0,5985.24,0,5160.78,0
0.8,10,5,20,0.2,0.2,9200.39,0,7564.53,0,7055.79,0
0.8,10,5,20,0.8,0.2,10685.2,0,8764.33,0,7652.78,0
0.8,10,10,50,0.2,0.2,49702.4,0,46508.8,0,38777.3,0
0.8,10,10,50,0.8,0.2,53711.2,0,48877.9,0,40068.9,0
0.8,10,30,50,0.2,0.2,83130.7,0,74386.3,0,65434,3
0.8,10,30,50,0.8,0.2,85342.3,0,77397.4,0,67880,3
0.8,10,50,50,0.2,0.2,108666,0,100634,0,89621,4
0.8,10,50,50,0.8,0.2,109906,0,107936,0,92479.3,3
0.8,10,30,150,0.2,0.2,400068,0,372777,0,327610,28
0.8,10,30,150,0.8,0.2,393197,0,395314,0,334059,44
0.8,10,50,150,0.2,0.2,463809,0,445537,0,403527,38
0.8,10,50,150,0.8,0.2,486609,0,485463,0,411993,49
0.8,10,30,250,0.2,0.2,886389,0,826675,0,735447,106
0.8,10,30,250,0.8,0.2,853812,0,853185,0,744791,63
0.8,10,50,250,0.2,0.2,993240,0,988287,0,869285,120
0.8,10,50,250,0.8,0.2,1.03885e+06,0,993614,0,874648,195
0.8,10,30,350,0.2,0.2,1.4713e+06,0,1.4642e+06,0,1.29895e+06,190
0.8,10,30,350,0.8,0.2,1.4843e+06,0,1.4878e+06,0,1.29637e+06,354
0.8,10,50,350,0.2,0.2,1.70516e+06,0,1.63815e+06,0,1.47122e+06,225
0.8,10,50,350,0.8,0.2,1.69677e+06,0,1.66277e+06,0,1.47937e+06,407
