alpha,d,m,n,T,R,EDD,,Medias,,IGA,
, , , , , , Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
0,10,2,20,0.2,0.2,445,0,390,0,386,0
0,10,2,20,0.8,0.2,995,0,1114,0,956,0
0,10,3,20,0.2,0.2,373,0,440,0,231,0
0,10,3,20,0.8,0.2,854,0,935,0,774,0
0,10,5,20,0.2,0.2,353,0,554,0,170,0
0,10,5,20,0.8,0.2,1066,0,1221,0,1009,0
0,10,10,50,0.2,0.2,1180,0,1411,0,601,0
0,10,10,50,0.8,0.2,2945,0,2910,0,2371,0
0,10,30,50,0.2,0.2,2068,0,2750,0,1403,1
0,10,30,50,0.8,0.2,4529,0,4464,0,3788,1
0,10,50,50,0.2,0.2,3664,0,3906,0,2711,3
0,10,50,50,0.8,0.2,6392,0,6121,0,5158,3
0,10,30,150,0.2,0.2,4383,0,5285,0,3038,31
0,10,30,150,0.8,0.2,9721,0,9726,0,8049,53
0,10,50,150,0.2,0.2,6801,0,7092,0,5128,46
0,10,50,150,0.8,0.2,11378,0,11761,0,10066,34
0,10,30,250,0.2,0.2,5525,0,6014,0,3058,157
0,10,30,250,0.8,0.2,13657,0,14271,0,11663,116
0,10,50,250,0.2,0.2,7885,0,8616,0,5888,125
0,10,50,250,0.8,0.2,16612,0,16441,0,14059,194
0,10,30,350,0.2,0.2,7549,0,9891,0,5027,177
0,10,30,350,0.8,0.2,18744,0,20129,0,15977,229
0,10,50,350,0.2,0.2,9734,0,11177,0,6564,330
0,10,50,350,0.8,0.2,21079,0,21193,0,17958,380
0.2,10,2,20,0.2,0.2,1084.04,0,972752,0,907109,0
0.2,10,2,20,0.8,0.2,1722.1,0,1742.37,0,1515.83,0
0.2,10,3,20,0.2,0.2,1059.98,0,892665,0,749423,0
0.2,10,3,20,0.8,0.2,1538,0,1398.75,0,1286.69,0
0.2,10,5,20,0.2,0.2,1248.75,0,1290.23,0,831.96,0
0.2,10,5,20,0.8,0.2,1980.76,0,1948.26,0,1689.29,0
0.2,10,10,50,0.2,0.2,4467.73,0,4168.37,0,3213.77,0
0.2,10,10,50,0.8,0.2,6344.37,0,5793.99,0,5114.14,0
0.2,10,30,50,0.2,0.2,7030.77,0,7395.99,0,5648.95,1
0.2,10,30,50,0.8,0.2,9566.41,0,9020.89,0,8134.03,1
0.2,10,50,50,0.2,0.2,10500.8,0,9881.75,0,8002.38,4
0.2,10,50,50,0.8,0.2,12866.8,0,12631.8,0,10677.9,3
0.2,10,30,150,0.2,0.2,20451.7,0,20173.4,0,16716.8,25
0.2,10,30,150,0.8,0.2,25316.9,0,25668,0,21656.9,24
0.2,10,50,150,0.2,0.2,24923.7,0,25106.6,0,21166.5,38
0.2,10,50,150,0.8,0.2,29739.7,0,30110.8,0,26110.8,37
0.2,10,30,250,0.2,0.2,33982.4,0,32764.9,0,27579,71
0.2,10,30,250,0.8,0.2,40810.2,0,41827.4,0,36054.3,129
0.2,10,50,250,0.2,0.2,39723.7,0,39873,0,33582.1,136
0.2,10,50,250,0.8,0.2,49088.3,0,47621,0,41765,288
0.2,10,30,350,0.2,0.2,48730.4,0,49150.7,0,41260.3,191
0.2,10,30,350,0.8,0.2,59364.2,0,61387.2,0,52703.6,202
0.2,10,50,350,0.2,0.2,56398.5,0,55027.1,0,46965,337
0.2,10,50,350,0.8,0.2,65844.4,0,65270.8,0,58726.2,320
0.8,10,2,20,0.2,0.2,6521.3,0,5841.76,0,5358.75,0
0.8,10,2,20,0.8,0.2,8431.39,0,7080.65,0,5937.9,0
0.8,10,3,20,0.2,0.2,7424.39,0,5216.46,0,4692.98,0
0.8,10,3,20,0.8,0.2,7941.24,0,5985.24,0,5137.28,0
0.8,10,5,20,0.2,0.2,9200.39,0,7564.53,0,6959.82,0
0.8,10,5,20,0.8,0.2,10685.2,0,8764.33,0,7762.89,0
0.8,10,10,50,0.2,0.2,49702.4,0,46508.8,0,38195,0
0.8,10,10,50,0.8,0.2,53711.2,0,48877.9,0,40052.3,0
0.8,10,30,50,0.2,0.2,83130.7,0,74386.3,0,65878,1
0.8,10,30,50,0.8,0.2,85342.3,0,77397.4,0,67539.6,1
0.8,10,50,50,0.2,0.2,108666,0,100634,0,90112.9,2
0.8,10,50,50,0.8,0.2,109906,0,107936,0,92906.3,3
0.8,10,30,150,0.2,0.2,400068,0,372777,0,328671,18
0.8,10,30,150,0.8,0.2,393197,0,395314,0,334496,30
0.8,10,50,150,0.2,0.2,463809,0,445537,0,401823,44
0.8,10,50,150,0.8,0.2,486609,0,485463,0,411376,49
0.8,10,30,250,0.2,0.2,886389,0,826675,0,735329,112
0.8,10,30,250,0.8,0.2,853812,0,853185,0,744614,91
0.8,10,50,250,0.2,0.2,993240,0,988287,0,865372,159
0.8,10,50,250,0.8,0.2,1.03885e+06,0,993614,0,875238,168
0.8,10,30,350,0.2,0.2,1.4713e+06,0,1.4642e+06,0,1.29601e+06,165
0.8,10,30,350,0.8,0.2,1.4843e+06,0,1.4878e+06,0,1.29939e+06,225
0.8,10,50,350,0.2,0.2,1.70516e+06,0,1.63815e+06,0,1.46692e+06,328
0.8,10,50,350,0.8,0.2,1.69677e+06,0,1.66277e+06,0,1.4775e+06,532
