alpha,d,m,n,T,R,EDD,,Medias,,IGA,
, , , , , , Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
0,10,2,20,0.2,0.2,445,0,390,0,344,0
0,10,2,20,0.8,0.2,995,0,1114,0,956,0
0,10,3,20,0.2,0.2,373,0,440,0,231,0
0,10,3,20,0.8,0.2,854,0,935,0,774,0
0,10,5,20,0.2,0.2,353,0,554,0,172,0
0,10,5,20,0.8,0.2,1066,0,1221,0,1009,0
0,10,10,50,0.2,0.2,1180,0,1411,0,615,0
0,10,10,50,0.8,0.2,2945,0,2910,0,2364,0
0,10,30,50,0.2,0.2,2068,0,2750,0,1474,2
0,10,30,50,0.8,0.2,4529,0,4464,0,3838,1
0,10,50,50,0.2,0.2,3664,0,3906,0,2713,3
0,10,50,50,0.8,0.2,6392,0,6121,0,5266,1
0,10,30,150,0.2,0.2,4383,0,5285,0,2964,40
0,10,30,150,0.8,0.2,9721,0,9726,0,8048,41
0,10,50,150,0.2,0.2,6801,0,7092,0,5028,40
0,10,50,150,0.8,0.2,11378,0,11761,0,10025,62
0,10,30,250,0.2,0.2,5525,0,6014,0,3215,76
0,10,30,250,0.8,0.2,13657,0,14271,0,11662,112
0,10,50,250,0.2,0.2,7885,0,8616,0,5898,118
0,10,50,250,0.8,0.2,16612,0,16441,0,14016,125
0,10,30,350,0.2,0.2,7549,0,9891,0,4906,305
0,10,30,350,0.8,0.2,18744,0,20129,0,16078,220
0,10,50,350,0.2,0.2,9734,0,11177,0,6410,433
0,10,50,350,0.8,0.2,21079,0,21193,0,18073,317
0.2,10,2,20,0.2,0.2,1084.04,0,972752,0,901866,0
0.2,10,2,20,0.8,0.2,1722.1,0,1742.37,0,1512.22,0
0.2,10,3,20,0.2,0.2,1059.98,0,892665,0,736122,0
0.2,10,3,20,0.8,0.2,1538,0,1398.75,0,1286.43,0
0.2,10,5,20,0.2,0.2,1248.75,0,1290.23,0,904273,0
0.2,10,5,20,0.8,0.2,1980.76,0,1948.26,0,1714.59,0
0.2,10,10,50,0.2,0.2,4467.73,0,4168.37,0,3248.82,0
0.2,10,10,50,0.8,0.2,6344.37,0,5793.99,0,5062.71,0
0.2,10,30,50,0.2,0.2,7030.77,0,7395.99,0,5697.68,1
0.2,10,30,50,0.8,0.2,9566.41,0,9020.89,0,8063.97,1
0.2,10,50,50,0.2,0.2,10500.8,0,9881.75,0,8152.44,3
0.2,10,50,50,0.8,0.2,12866.8,0,12631.8,0,10801.4,2
0.2,10,30,150,0.2,0.2,20451.7,0,20173.4,0,16664.5,22
0.2,10,30,150,0.8,0.2,25316.9,0,25668,0,21804.4,32
0.2,10,50,150,0.2,0.2,24923.7,0,25106.6,0,21100.8,62
0.2,10,50,150,0.8,0.2,29739.7,0,30110.8,0,26097.8,56
0.2,10,30,250,0.2,0.2,33982.4,0,32764.9,0,27186.4,106
0.2,10,30,250,0.8,0.2,40810.2,0,41827.4,0,35878.3,101
0.2,10,50,250,0.2,0.2,39723.7,0,39873,0,33314.3,194
0.2,10,50,250,0.8,0.2,49088.3,0,47621,0,41682.9,159
0.2,10,30,350,0.2,0.2,48730.4,0,49150.7,0,41638.4,184
0.2,10,30,350,0.8,0.2,59364.2,0,61387.2,0,52417,189
0.2,10,50,350,0.2,0.2,56398.5,0,55027.1,0,46626,288
0.2,10,50,350,0.8,0.2,65844.4,0,65270.8,0,58337.3,631
0.8,10,2,20,0.2,0.2,6521.3,0,5841.76,0,5315.23,0
0.8,10,2,20,0.8,0.2,8431.39,0,7080.65,0,5997.6,0
0.8,10,3,20,0.2,0.2,7424.39,0,5216.46,0,4654.38,0
0.8,10,3,20,0.8,0.2,7941.24,0,5985.24,0,5168.64,0
0.8,10,5,20,0.2,0.2,9200.39,0,7564.53,0,6996.39,0
0.8,10,5,20,0.8,0.2,10685.2,0,8764.33,0,7685.27,0
0.8,10,10,50,0.2,0.2,49702.4,0,46508.8,0,39031.1,0
0.8,10,10,50,0.8,0.2,53711.2,0,48877.9,0,40187.5,0
0.8,10,30,50,0.2,0.2,83130.7,0,74386.3,0,65569.7,1
0.8,10,30,50,0.8,0.2,85342.3,0,77397.4,0,68021.6,1
0.8,10,50,50,0.2,0.2,108666,0,100634,0,90290.1,2
0.8,10,50,50,0.8,0.2,109906,0,107936,0,92587.5,2
0.8,10,30,150,0.2,0.2,400068,0,372777,0,327994,30
0.8,10,30,150,0.8,0.2,393197,0,395314,0,334715,24
0.8,10,50,150,0.2,0.2,463809,0,445537,0,402540,30
0.8,10,50,150,0.8,0.2,486609,0,485463,0,408015,51
0.8,10,30,250,0.2,0.2,886389,0,826675,0,737093,69
0.8,10,30,250,0.8,0.2,853812,0,853185,0,742382,90
0.8,10,50,250,0.2,0.2,993240,0,988287,0,870326,144
0.8,10,50,250,0.8,0.2,1.03885e+06,0,993614,0,870391,215
0.8,10,30,350,0.2,0.2,1.4713e+06,0,1.4642e+06,0,1.29421e+06,168
0.8,10,30,350,0.8,0.2,1.4843e+06,0,1.4878e+06,0,1.30779e+06,242
0.8,10,50,350,0.2,0.2,1.70516e+06,0,1.63815e+06,0,1.46971e+06,303
0.8,10,50,350,0.8,0.2,1.69677e+06,0,1.66277e+06,0,1.47959e+06,561
